reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gp:AOqpTOHrrncQOMrLBuzW02geecCVBlOc0Q8TMqbDc2DBE9BDIcIRSL8oAHUqpH8-M5nUuoQeoXUHFf92Mw-n,jevier,https://play-lh.googleusercontent.com/a-/AOh14GgUB4MrmCHcfln1_cTy_pTIffDdpg1beHsjLVfrKA,""Tolong";di;perbaiki;sytemnya,;di;mode;malam;selalu;mendapatkan;lawan;TH;gk;seimbang;01-Feb;level;di;atas;kita;tidak;hanya;1x;tpi;terus;berulang2;kali,;dan;bonus;rampasanya;tolong;di;banyakin;lagi.;kalo;bisa;sih;seperti;mode;siang;bisa;pilih;lawan;jadi;kalo;gak;se;imbang;bisa;di;skip.;Thanks;"SuperCel"",2,2454,14.426.4,2022-04-12";02:19:26,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFGo72ofVZyIdNMoMVIFVhFm9ncxN0Nv37PPBfPRUHaJN47HdrnBOHiM4IK5P3j4YIj5tCWEOue12ln,Rafka;Rahesya;"ditya,https://play-lh.googleusercontent.com/a/AATXAJxJd_A0fh-auDnUJJ-CwMvf4Czqg26xVGMqjIgZ=mo,""Aku";suka;game;coc,;tapi;masalahnya;kaya;kurang;ferfek;gitu,;nah;yang;kurang;ferfek;itu,semua;bangunan;pada;desa;asal,;balaikota;level;7;itu;durasi;pembangunannya;lama;pada;lamma;gitu,;jadi;kalo;bisa;tolong;kurangi;durasi;pembangunan;bangunan;yang;ada;di;balaikota;level;7;ke;atas;terima;kasih;udah;dibaca;"(っ^╭╮^)っ"",4,437,14.426.6,2022-04-25";04:44:34,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOERHfQi3uVbobErj4j0igntZcJJXdDaTPtT8fdZHX7AJxdMWh-bogpTZif8qJ5F6s0g7s0OuN3M-JtZ,leh;"mahmudileh,https://play-lh.googleusercontent.com/a-/AOh14GhHtVa2bxalsKH78U8clV4-Y_-V4qxbhas4YKEy6g,""Saya";dulu;player;lama;dari;coc;yang;terbengkalai;menurut;saya;agar;dapat;mempertahankan;dan;menjadikan;coc;lebih;maju;di;negara;kami;adalah.;Tambah;"event""""";yg;menarik;namun;tidak;dengan;adanya;clam;harus;dengan;top;up;sperti;skin;hero;gratis;,;dan;jangan;memberikan;waktu;lama;untuk;upgrade;persenjataan;yang;terutama;bagi;pleton;karna;itu;sangat;perlu;untuk;dapat;memicu;seseorang;tidak;bosen;!!!;Sekian;"trimakasih"",2,1114,14.426.4,2022-04-20";04:53:10,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFD5IhVG-1Gj4nN7oKxb-4W9erzU9cjL6KAPw3MgFit3FTjO7NV6ILxs0o6LP9fy-JGGwsrHx410rjG,Bro;Arvin,https://play-lh.googleusercontent.com/a-/AOh14GjiCwqLK58wk3xfNo02uyiu0UlfEVfD92se4LEnfA,Tolong;dong;diperbaiki.;Lagi;asik;asik;maen;malah;sering;terputus;koneksinya.;Tau;tau;keluar;sendiri.;Sebagai;user;saya;merasa;tidak;nyaman;dengan;sering;keluar;game;sendiri..;ayodong;diperbaiki.;SUPERCELL;ayodong;di;tingkatkan;lagi;ah,2,1792,14.426.4,2022-04-02;16:21:18,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOG9YCkxXFkOBw9sIDJQFP0LVEBJlRx19bXnBw2Pzj8SaozWj4d6mmqLbpfXuLtCqcIU9NxzMFJz2msD,Andy;Eko;"Setiawan,https://play-lh.googleusercontent.com/a/AATXAJyq_Nygza-0rzPAyHaENIITyo1zaghVQyvc1uhm=mo,""Saran";buat;supercel.;Mohon;mesin;pengepungan;apapun;hanya;bisa;di;gunakan;untuk;TH;11;keatas.;Karena;adanya;artileri;eagle.;Kalau;untuk;TH;10.;Untuk;mengatasi;2;Inferno;tower;dan;3;x;bow.;Tidak;perlu;mesin;pengepungan.;Akan;sangat;mudah;sekali;jika;di;beri;mesin;pengepungan,;yg;membuat;game;jadi;monoton.terima;"kasih"",2,347,14.426.4,2022-04-12";15:09:29,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOGBbDP1wRckXYNdrB_JEpfBoL-oJHhABRYyhYm_98q6sFGrcfg_9Zrr5_Jys1wMstPhJBZQaPaO_8w4,Stivan;"Giancarlo,https://play-lh.googleusercontent.com/a/AATXAJyOCj3uAaCdu0veLy5w6746wRxb6U70sektjU0s=mo,""Gamenya";bagus;sih;dan;nguras;paket;data;juga;kecil;tapi;ada;1;kekurangan;dari;Coc;dimana;saat;menyerang;musuh;tiba²;sinyal;di;coc;melemah;sehingga;saat;serangan;nya;ga;sepenuhnya;berhasil,;jadi;tolong;dong;sama;supercell;untuk;memperbaiki;bug;ini;karena;sangat;merugikan;pemain;Coc!!!;Sekian;dari;saya;"terimakasih."",4,788,14.426.4,2022-04-19";12:38:55,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOEU54g-fMmlLKZgIo4x_hjIosHIkASL8cVhn3m95qU0ruCS6xTtBFd6PC21L2MRTH7dPw-YdYldhTNE,Akbar;"Satria,https://play-lh.googleusercontent.com/a-/AOh14GifGofL4XGWUR_cfPqFd4Wux5_4FR-Qiw_vGRDd,""Untuk";SUPERCELL.;kenapa;kalau;di;hp;saya;(Vivo;Y81);game;di;versi;sekarang;kadang;suka;fc;waktu;di;loading;screen,;dulu;saya;pernah;main;di;versi;lama;tapi;ga;pernah;force;close,;kalaupun;itu;bug;tolong;secepatnya;di;fix;"🙏🙏"",3,207,14.426.4,2022-04-25";05:06:59,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOHTsVYWw0f5jOvl-JNkK2hvlHe47sWShJ5ejJsP4KiBj4uteduVzdz0ZHHqcpwRQjEV4hFsTnG_VE_v,Vendi;"Rhamawan,https://play-lh.googleusercontent.com/a/AATXAJzSADX8g3W5qA9ivwQ3tjKfRLnPDn6fdhFHad01=mo,""Untuk";game;sih;udah;bagus,;untuk;upgrade;bangunan;tolong;jangan;kelamaan;upgrade;1;bangunan;entah;senjata;atau;apalah;nyampe;1;Minggu;malah;terkadang;lebih,;di;mode;malam;banyakin;rampasan;dong;musuh;terkadang;ga;seimbang,percepat;produksi;pasukan;biar;nyerang;nya;enak.;"Terimakasih."",2,42,14.426.4,2022-04-24";10:05:00,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFqj1_g_HLWCnhtyQwWTECCGjTpKdyDUKB7rxeMDc1Ch2-MpPNm6yVL38XZ_RJz32Rmh-HE5884QcBf,Andhika;"Kojo,https://play-lh.googleusercontent.com/a/AATXAJxZK50u6pnMk_MyP2Aoy-or_4PsieQ8d9VHLfjC=mo,""Gamenya";bagus;tapi;ada;kurangnya,pertama;di;pencarian;lawan;dalam;mode;desa;asal;ataupun;basis;tukang;yg;dimana;kurangnya;itu;lebih;sering;dapat/ketemu;lawan;yg;sulit,kedua;di;bagian;klan;yaitu;di;dalam;klan;gk;bisa;dicek;"siapa""""";aja;yg;on,maka;dari;itu;kalau;bisa;sistem;clan;dalam;melihat;teman;sesama;clan;on;atau;off;bisa;"dibuat"",5,527,14.426.4,2022-04-02";20:23:02,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOF-G2lK2L3jzseVtimfvIrk_jfh6MdSvS-hDdfJwRfDOkaZOKRmrDPW-4aqxfRnzqs0AcZm-2WB_ids,Candra;"Hermawan,https://play-lh.googleusercontent.com/a-/AOh14GgFj_J2Bst98Inz7U3U4I-C5fOiO3sfDcAIw74r_w,""Tolong";perbaiki;lagi;sistem;gamenya,;lebih;tepatnya;pada;saat;ketika;kita;lagi;menyerang;di;mode;multipemain;atau;war;klan,;dan;sedang;ditengah;maupun;diawal;pertempuran,;tiba-tiba;saya;keluar;gara-gara;memuat;ulang,;tolong;ya;di;perbaik;sistemnya;udah;banyak;kali;pas;nyerang;memuat;ulang,;kejadian;tersebut;menyebabkan;saya;rugi.;Mungkin;ada;orang;lain;yang;mengalami;kejadian;seperti;saya,;maka;dari;itu;tolong;cepat;tanggapi;komentar;saya;"ini."",2,4873,14.426.4,2022-03-24";17:44:49,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
